url,clean_text
https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,view automata fix new
https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,view core java entry level new
https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,view java 8 new
https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,view core java advanced level new
https://www.shl.com/products/product-catalog/view/interpersonal-communications/,view interpersonal communications
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,view entry level sales 7 1
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,view entry level sales sift out 7 1
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,view entry level sales solution
https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,view sales representative solution
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,view business communication adaptive
https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,view technical sales associate solution
https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,view svar spoken english indian accent new
https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,view english comprehension new
https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,view enterprise leadership report
https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,view occupational personality questionnaire opq32r
https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,view opq leadership report
https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,view opq team types and leadership styles report
https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,view enterprise leadership report 2 0
https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,view global skills assessment
https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,view verify verbal ability next generation
https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,view shl verify interactive inductive reasoning
https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,view marketing new
https://www.shl.com/products/product-catalog/view/english-comprehension-new/,view english comprehension new
https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,view drupal new
https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,view written english v1
https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,view occupational personality questionnaire opq32r
https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,view search engine optimization new
https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,view automata selenium
https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,view professional 7 1 solution
https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,view javascript new
https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,view htmlcss new
https://www.shl.com/solutions/products/product-catalog/view/css3-new/,view css3 new
https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,view selenium new
https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,view sql server new
https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,view automata sql new
https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,view manual testing new
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,view administrative professional short form
https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,view verify numerical ability
https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,view financial professional short form
https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,view bank administrative assistant short form
https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,view general entry level data entry 7 0 solution
https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,view basic computer literacy windows 10 new
https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,view manager 8 0 jfa 4310
https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,view microsoft excel 365 essentials new
https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,view digital advertising new
https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,view writex email writing sales new
https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,view shl verify interactive numerical calculation
https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,view professional 7 1 solution
https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,view sql server analysis services %28ssas%29 %28new%29
https://www.shl.com/solutions/products/product-catalog/view/python-new/,view python new
https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,view tableau new
https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,view microsoft excel 365 new
https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,view professional 7 0 solution 3958
https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,view data warehousing concepts
